hpoID	hpoLabel	deltaZ	pValue	nGenes
HP:0010866	Abdominal wall defect	0.00881940219478	0.575519428151	288
HP:0004207	Abnormal 5th finger morphology	-0.00194651520338	0.899440847375	292
HP:0001952	Glucose intolerance	0.0220341786769	0.203648104786	279
HP:0004299	Hernia of the abdominal wall	0.00906293732988	0.569064297406	285
HP:0100851	Abnormal emotion/affect behavior	-0.00266511971787	0.802142445417	270
HP:0001332	Dystonia	-0.0171103216913	0.00917075572398	277
HP:0004360	Abnormality of acid-base homeostasis	-0.0198039541873	0.00327516726737	274
HP:0000819	Diabetes mellitus	0.0219908343904	0.217586705214	271
HP:0000235	Abnormality of the fontanelles or cranial sutures	-0.0173214580956	0.00267443855579	292
HP:0002353	EEG abnormality	-0.0265323585022	2.76607595891e-05	274
HP:0000358	Posteriorly rotated ears	-0.0204185180988	0.000710354984736	286
HP:0000795	Abnormality of the urethra	0.0141631098919	0.410976127482	268
HP:0000766	Abnormality of the sternum	-0.00263116654347	0.743511728943	275
HP:0002017	Nausea and vomiting	0.0428564677078	0.0246428843153	273
HP:0000083	Renal insufficiency	0.00776069397879	0.647493095708	269
HP:0005656	Positional foot deformity	-0.0236841148888	0.000734712138199	273
HP:0001376	Limitation of joint mobility	0.00337602938485	0.750134921482	276
HP:0000927	Abnormality of skeletal maturation	-0.00872574935387	0.254356717663	263
HP:0001883	Talipes	-0.0225252810256	0.00137512169537	270
HP:0032263	Increased blood pressure	0.0046304309301	0.754855299775	267
HP:0003828	Variable expressivity	-0.00339206943381	0.744738797962	261
HP:0003121	Limb joint contracture	-0.0130454473715	0.0855233822282	258
HP:0000820	Abnormality of the thyroid gland	0.0121071673665	0.350981425363	263
HP:0001744	Splenomegaly	0.00423327352954	0.647151424962	271
HP:0000864	Abnormality of the hypothalamus-pituitary axis	0.0336520188781	0.0925409172755	254
HP:0007703	Abnormality of retinal pigmentation	-0.0143062472127	0.146062881645	264
HP:0011799	Abnormality of facial soft tissue	0.0172433463335	0.123559608298	275
HP:0012378	Fatigue	0.0480242395233	0.0169270757611	262
HP:0001513	Obesity	-0.0183032762894	0.00568547540724	258
HP:0010438	Abnormal ventricular septum morphology	-0.0122738744122	0.0952512531311	265
HP:0040194	Increased head circumference	-0.0128795668331	0.18679456513	255
HP:0001265	Hyporeflexia	-0.0107310259092	0.112598897527	260
HP:0001941	Acidosis	-0.0253713038984	2.56167992292e-05	247
HP:0000769	Abnormality of the breast	0.0376507263126	0.0728890448403	252
HP:0000256	Macrocephaly	-0.0128392293065	0.189908625196	254
HP:0001547	Abnormality of the rib cage	-0.0070975558227	0.499056169576	252
HP:0011218	Abnormal shape of the frontal region	0.00971699249621	0.619740606406	252
